Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
     32    0.0%    0.0%  Handler: call {1}
     31    0.0%    0.0%  LazyCompile: *test native regexp.js:132:20
     31    0.0%    0.0%  LazyCompile: *readUInt16BE /opt/box/node_modules/ws/lib/Receiver.js:372:22
     30    0.0%    0.0%  LazyCompile: *Receiver.applyExtensions /opt/box/node_modules/ws/lib/Receiver.js:352:46
     30    0.0%    0.0%  Handler: toString {NaN}
     29    0.0%    0.0%  Stub: StoreTransitionStub {24}
     29    0.0%    0.0%  Stub: FastNewClosureStub
     29    0.0%    0.0%  Stub: CallICStub(args(7), METHOD, 
     29    0.0%    0.0%  LazyCompile: ~emitMany events.js:106:18
     29    0.0%    0.0%  LazyCompile: Sender.frameAndSend /opt/box/node_modules/ws/lib/Sender.js:139:41
     29    0.0%    0.0%  Handler: applyExtensions
     29    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
     28    0.0%    0.0%  Stub: CallFunctionStub {1}
     28    0.0%    0.0%  LazyCompile: *ToPropertyDescriptor native v8natives.js:234:30
     28    0.0%    0.0%  Handler: flush
     27    0.0%    0.0%  Stub: StoreTransitionStub {12}
     27    0.0%    0.0%  Stub: StoreFastElementStub {2}
     27    0.0%    0.0%  LazyCompile: ~onread net.js:501:16
     27    0.0%    0.0%  LazyCompile: *nextTick node.js:477:22
     27    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
     27    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
     26    0.0%    0.0%  LazyCompile: ~onMessage /opt/box/node_modules/ws/lib/WebSocket.js:417:22
     26    0.0%    0.0%  LazyCompile: *storeHeader _http_outgoing.js:302:21
     26    0.0%    0.0%  LazyCompile: *Packet.readSInt16LE /opt/box/node_modules/agario-client/packet.js:58:27
     26    0.0%    0.0%  LazyCompile: *OutgoingMessage.setHeader _http_outgoing.js:338:47
     26    0.0%    0.0%  LazyCompile: *DefineObjectProperty native v8natives.js:461:30
     25    0.0%    0.0%  Stub: RecordWriteStub
     25    0.0%    0.0%  Stub: CompareICStub {14}
     25    0.0%    0.0%  Stub: CompareICStub {11}
     25    0.0%    0.0%  LazyCompile: ~defineProperty native v8natives.js:763:30
     25    0.0%    0.0%  Handler: binary {1}
     24    0.0%    0.0%  Stub: StoreFieldStub {10}
     24    0.0%    0.0%  LazyCompile: ~Socket.connect net.js:858:36
